"","address","price","area","floor","allfloor","livingroom","bathroom","bedroom"
"361","仁愛路四段採光好通風佳大坪數..",130000,75,5,12,2,2,3
"362","信義路三段採光通風◇格局方正..",65000,41.3,6,7,2,2,4
"363","仁愛路四段金碧輝煌。優雅浪漫..",110000,65.3,3,14,2,2,3
"364","和平東路一段183巷森林公園◇..",120000,79.6,1,5,4,4,7
"365","復興南路一段綠意盎然的..",49000,37.9,3,7,2,2,2
"366","通安街信義安和站高樓景觀採光..",49898,24.9,8,9,2,2,2
"367","信義路三段147巷溫馨公..",30000,29,4,4,2,2,3
"368","光復南路MTR信義安和生..",35000,23.5,9,12,1,1,2
"369","仁愛路四段222巷MRT忠孝敦化..",32000,12.9,2,9,1,1,1
"370","通安街MRT信義安和、管理佳、..",45000,26.1,4,9,2,2,3
"371","建國南路一段大安森林公園旁精..",34000,18.5,6,12,1,1,2
"372","瑞安街208巷近捷運精選稀有優..",34000,29.6,4,7,2,2,2
"373","建國南路一段近捷運大安森林公..",34000,18.5,6,12,1,1,2
"374","復興南路忠孝復興大微風對面公..",22000,11,8,12,1,1,1
"376","羅斯福路二段漂亮時尚裝潢~採..",100000,40,4,7,2,2,2
"377","市民大道四段東區小豪宅..",30000,14,2,10,1,1,3
"378","安和路二段★六張犁遠企★林蔭..",60000,47,3,17,2,2,3
"379","復興南路一段忠孝復興站/格局..",33000,27,8,16,1,1,2
"380","信義路二段198巷近大安森林公..",35000,13.7,3,6,1,1,1
"381","安和路一段旺德美客§近忠孝敦..",80000,45.1,11,12,2,2,3
"382","復興南路一段135巷旺德美客§..",30000,19.6,5,12,1,1,2
"383","安和路一段敦南誠品旁全新裝潢..",80000,45.1,11,12,2,2,4
"384","信義路三段147巷旺德美客§近..",65000,39.5,6,7,1,2,4
"385","瑞安街120巷10年內新成屋、生..",125000,86.6,5,11,2,3,3
"386","光復南路近捷運臨江夜市旁精選..",105000,60,17,19,2,2,3
"387","忠孝東路三段248巷旺德美客§..",52000,48.7,1,14,2,2,3
"388","安和路一段交通便利適合家庭鄰..",68000,51.5,8,16,2,2,4
"389","光復南路近臨江夜市~2+1書房~..",100000,60,17,19,2,2,3
"390","樂業街近六張犁捷運站、舒適木..",66000,58,4,13,2,2,3
"391","仁愛路四段旺德美客§近捷運忠..",110000,54,3,14,2,2,4
"392","永康街37巷旺德美客§近東門站..",50000,42.5,4,6,2,2,3
"393","安和路二段181巷安和遠企景觀..",85000,53,7,17,2,2,3
"395","建國南路一段旺德美客★捷運大..",34000,18.5,6,12,1,1,2
"396","新生南路二段★大安森林公園★..",208888,151,3,15,2,4,4
"397","建國南路一段270巷旺德美客◆..",120000,36.7,1,5,3,3,4
"398","和平東路一段74巷旺德美客◆近..",35000,25,5,5,1,1,1
"399","光復南路旺德美客◆近基隆路*..",50000,22.3,7,14,1,1,2
"400","師大路105巷旺德美客§近師大..",30000,19.5,6,10,1,1,2
"401","和平東路二段建國南路和平東路..",32000,25,3,9,1,1,2
"402","瑞安街208巷★近捷運大安★稀..",33999,29.6,4,7,2,2,2
"403","安和路二段59巷★近捷運信義安..",73999,31.4,2,7,2,3,4
"404","和平東路一段183巷旺德美客§..",130000,53.6,1,5,3,4,7
"405","建國南路一段★近大安森林公園..",33999,18.5,6,12,1,1,2
"406","和平東路三段★近捷運六張犁★..",119999,80.9,15,19,2,3,3
"407","光復南路邊間2房/精美裝潢/..",35000,21,9,12,1,1,2
